Target_Location,Name,Cuisine,Rating,Cost_for_Two,URL
Mathura,Vip Pizza,"Street Food, Fast Food, Pizza, Shake, Beverages",-,₹300 for two,https://www.zomato.com/mathura/vip-pizza-3-mathura-locality/info
Mathura,Majeed Restaurant,"Biryani, Mughlai, Afghan",3.7,₹200 for two,https://www.zomato.com/mathura/majeed-restaurant-3-mathura-locality/info
Mathura,Standard Cake Bank,"Pizza, Fast Food, Burger",3.8,₹200 for two,https://www.zomato.com/mathura/standard-cake-bank-mathura-locality/info
Mathura,OM Sweet Center,"Mithai, Street Food",4.8,₹250 for two,https://www.zomato.com/mathura/om-sweet-center-mathura-locality/info
Mathura,Shri Giriraj Subhadra Bhojnalaya,"Fast Food, Shake, Beverages",-,₹200 for two,https://www.zomato.com/mathura/shri-giriraj-subhadra-bhojnalaya-mathura-locality/info
Mathura,Burger Monk,"Burger, Pizza, Sandwich, Wraps, Fast Food, Shake, Beverages",4.1,₹450 for two,https://www.zomato.com/mathura/burger-monk-mathura-locality/info
Mathura,Hotel Heera Kunj Residency,"North Indian, Chinese, South Indian",3.9,₹300 for two,https://www.zomato.com/mathura/hotel-heera-kunj-residency-mathura-locality/info
Mathura,Coco Chocolate Company,"Desserts, Beverages, Fast Food",3.1,₹300 for two,https://www.zomato.com/mathura/coco-chocolate-company-mathura-locality/info
Mathura,Pastas By Pizza Hut,"Pasta, Italian",-,₹200 for two,https://www.zomato.com/mathura/pastas-by-pizza-hut-2-mathura-locality/info
Mathura,Foodies Vampire,"Pizza, Burger, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",-,₹400 for two,https://www.zomato.com/mathura/foodies-vampire-mathura-locality/info
Mathura,Burger Point,"Burger, Fast Food",3.7,₹300 for two,https://www.zomato.com/mathura/burger-point-3-mathura-locality/info
Mathura,Basera Restaurant,"North Indian, Fast Food",3.9,₹300 for two,https://www.zomato.com/mathura/basera-restaurant-mathura-locality/info
Mathura,Rhea's Cafe,"South Indian, Street Food, Beverages",3.8,₹200 for two,https://www.zomato.com/mathura/rheas-cafe-1-mathura-locality/info
Mathura,Madhav Muskan Residency,"North Indian, Fast Food, Shake",3.9,₹300 for two,https://www.zomato.com/mathura/madhav-muskan-residency-6-mathura-locality/info
Mathura,SAM bakers,"Fast Food, Bakery",-,₹200 for two,https://www.zomato.com/mathura/sam-bakers-1-mathura-locality/info
Mathura,Tasty Fresh,"North Indian, Pizza, Burger, Chinese, Fast Food",-,₹300 for two,https://www.zomato.com/mathura/tasty-fresh-3-mathura-locality/info
Mathura,Kanhaiya Bhojnalay,N/A,3.2,₹300 for two,https://www.zomato.com/mathura/kanhaiya-bhojnalay-mathura-locality/info
Mathura,La Pino'z Pizza,N/A,3.7,₹300 for two,https://www.zomato.com/mathura/la-pinoz-pizza-1-mathura-locality/info
Mathura,Pizza And Pizza,"Fast Food, Pizza, Pasta, Burger, Rolls, Momos, Beverages, Shake",2.6,₹300 for two,https://www.zomato.com/mathura/pizza-and-pizza-mathura-locality/info
Mathura,Aryavilas,"North Indian, Chinese, Fast Food, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/aryavilas-mathura-locality/info
Mathura,DND Cafe & Restro,"Fast Food, Pasta, Pizza, Chinese, Shake, Beverages",3.3,₹300 for two,https://www.zomato.com/mathura/dnd-cafe-restro-2-mathura-locality/info
Mathura,Oven 180,N/A,3.4,₹100 for two,https://www.zomato.com/mathura/oven-180-mathura-locality/info
Mathura,Shankar Foods,"Chinese, North Indian, South Indian",4.1,₹400 for two,https://www.zomato.com/mathura/shankar-foods-mathura-locality/info
Mathura,TAF The Annapurna Foods,"North Indian, Chinese, Street Food, Beverages",-,₹450 for two,https://www.zomato.com/mathura/taf-the-annapurna-foods-mathura-locality/info
Mathura,Brijwasi Krishna Nagar,"North Indian, South Indian, Fast Food",4.0,₹200 for two,https://www.zomato.com/mathura/brijwasi-krishna-nagar-mathura-locality/info
Mathura,Anita Bakers,"Bakery, Desserts, Burger, Pizza, Street Food",-,₹300 for two,https://www.zomato.com/mathura/anita-bakers-mathura-locality/info
Mathura,Fox Fire,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages",3.4,₹400 for two,https://www.zomato.com/mathura/fox-fire-1-mathura-locality/info
Mathura,Raman Misthan Bhandar,"Mithai, Desserts",-,₹200 for two,https://www.zomato.com/mathura/raman-misthan-bhandar-mathura-locality/info
