Target_Location,Name,Cuisine,Rating,Cost_for_Two,URL
Mathura,The Pizza Empire,N/A,3.1,₹400 for two,https://www.zomato.com/mathura/the-pizza-empire-mathura-locality/info
Mathura,Nikhil Family Restaurant,"North Indian, Chinese",3.8,₹100 for two,https://www.zomato.com/mathura/nikhil-family-restaurant-mathura-locality/info
Mathura,Mohit Cafe,"Sandwich, Chinese, Burger, Pizza",3.3,₹200 for two,https://www.zomato.com/mathura/mohit-cafe-mathura-locality/info
Mathura,7 Minutes,"Beverages, Juices, Fast Food",3.4,₹350 for two,https://www.zomato.com/mathura/7-minutes-mathura-locality/info
Mathura,Pizza Olive,"Pizza, Fast Food",3.9,₹300 for two,https://www.zomato.com/mathura/pizza-olive-mathura-locality/info
Mathura,The Biryani Wala,"Biryani, Salad, Street Food",-,₹150 for two,https://www.zomato.com/mathura/the-biryani-wala-mathura-locality/info
Mathura,Bhole Misthan Bhandar,"Mithai, Fast Food",3.4,₹300 for two,https://www.zomato.com/mathura/bhole-misthan-bhandar-mathura-locality/info
Mathura,Zoomeno'd Pizza,"Pizza, Burger, Fast Food",-,₹300 for two,https://www.zomato.com/mathura/zoomenod-pizza-mathura-locality/info
Mathura,Marvello Shake,"Beverages, Ice Cream, Shake",3.6,₹300 for two,https://www.zomato.com/mathura/marvello-shake-mathura-locality/info
Mathura,Hugs & Bite,"Fast Food, Coffee, Chinese, Street Food, Ice Cream, Desserts, Beverages",-,₹600 for two,https://www.zomato.com/mathura/hugs-bite-3-mathura-locality/info
Mathura,Food Hut Restaurant,"North Indian, Fast Food, Chinese",3.4,₹250 for two,https://www.zomato.com/mathura/food-hut-restaurant-mathura-locality/info
Mathura,Rohit Confectionery,"Fast Food, Bakery, Desserts",3.2,₹200 for two,https://www.zomato.com/mathura/rohit-confectionery-mathura-locality/info
Mathura,Hotel Galaxy,"South Indian, North Indian, Chinese, Shake",3.2,₹400 for two,https://www.zomato.com/mathura/hotel-galaxy-mathura-locality/info
Mathura,Gola Confectionary,N/A,3.3,₹150 for two,https://www.zomato.com/mathura/gola-confectionary-1-mathura-locality/info
Mathura,Directors Lounge,"Tea, Street Food, Fast Food, Burger, Sandwich, Chinese, North Indian, Beverages",3.4,₹150 for two,https://www.zomato.com/mathura/directors-lounge-mathura-locality/info
Mathura,Sainik Family Restaurant,"Chinese, North Indian, Street Food, Beverages",-,₹400 for two,https://www.zomato.com/mathura/sainik-family-restaurant-mathura-locality/info
Mathura,The Gravy Talk,"North Indian, Chinese, Sandwich",3.5,₹500 for two,https://www.zomato.com/mathura/the-gravy-talk-1-mathura-locality/info
Mathura,Ponia Sweets And Restaurant,"Mithai, Chinese, Fast Food, Ice Cream, Beverages",-,₹400 for two,https://www.zomato.com/mathura/ponia-sweets-and-restaurant-mathura-locality/info
Mathura,Yadav Family Dhaba,"North Indian, Beverages",-,₹350 for two,https://www.zomato.com/mathura/yadav-family-dhaba-1-mathura-locality/info
Mathura,One Bite,"Burger, Pizza, Fast Food, Desserts, Beverages",-,₹250 for two,https://www.zomato.com/mathura/one-bite-mathura-locality/info
Mathura,Momos Hub,"Momos, Rolls, Street Food",-,₹250 for two,https://www.zomato.com/mathura/momos-hub-2-mathura-locality/info
Mathura,"Gianis - Ice Cream, Shakes & Sundaes",N/A,-,₹250 for two,https://www.zomato.com/mathura/gianis-ice-cream-shakes-sundaes-mathura-locality/info
Mathura,Cake Hut,"Bakery, Desserts, Chinese",-,₹200 for two,https://www.zomato.com/mathura/cake-hut-mathura-locality/info
Mathura,Bhookha Sand,"Fast Food, Beverages",-,₹200 for two,https://www.zomato.com/mathura/bhookha-sand-mathura-locality/info
Mathura,MBA Chaiwala,"Tea, Fast Food, Burger, Sandwich, Pizza, Street Food, Shake, Beverages",-,₹300 for two,https://www.zomato.com/mathura/mba-chaiwala-mathura-locality/info
Mathura,Chaichowk,"Chinese, Continental, Sandwich, North Indian, Pizza, Momos, Desserts, South Indian",2.7,₹350 for two,https://www.zomato.com/mathura/chaichowk-mathura-locality/info
Mathura,Rajput Food,N/A,2.8,₹100 for two,https://www.zomato.com/mathura/rajput-food-mathura-locality/info
Mathura,Gagga Chicken Darbar,"Mughlai, Biryani, North Indian",-,₹150 for two,https://www.zomato.com/mathura/gagga-chicken-darbar-mathura-locality/info
Mathura,BK Cafe By Burger King,"Cafe, Fast Food, Beverages",-,₹500 for two,https://www.zomato.com/mathura/bk-cafe-by-burger-king-mathura-locality/info
Mathura,Brijwasi Chole Kulche Vala,N/A,-,₹150 for two,https://www.zomato.com/mathura/brijwasi-chole-kulche-vala-mathura-locality/info
Mathura,The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich",-,₹300 for two,https://www.zomato.com/mathura/the-burger-company-mathura-locality/info
Mathura,Taj Hotel,"North Indian, Mughlai, Seafood",-,₹450 for two,https://www.zomato.com/mathura/taj-hotel-2-mathura-locality/info
Mathura,Oma Pehalwan Kachori Wale,"Street Food, Desserts",-,₹100 for two,https://www.zomato.com/mathura/oma-pehalwan-kachori-wale-mathura-locality/info
Mathura,Maa Ki Rasoi Veg Restaurant,"North Indian, Fast Food, Chinese, Street Food, Shake",-,₹600 for two,https://www.zomato.com/mathura/maa-ki-rasoi-veg-restaurant-mathura-locality/info
Mathura,Khana Khazana Family Restaurant,N/A,-,₹300 for two,https://www.zomato.com/mathura/khana-khazana-family-restaurant-mathura-locality/info
Mathura,Barista,N/A,-,₹200 for two,https://www.zomato.com/mathura/barista-mathura-locality/info
Mathura,Chaudhary Family Dhaba,N/A,-,₹350 for two,https://www.zomato.com/mathura/chaudhary-family-dhaba-3-mathura-locality/info
Mathura,The Down Town Cafe And Restaurant,"Burger, Sandwich, Fast Food, Street Food, Pizza, Pasta, Shake",-,₹250 for two,https://www.zomato.com/mathura/the-down-town-cafe-and-restaurant-3-mathura-locality/info
Mathura,Veer Chaap Express,"North Indian, Rolls",-,₹400 for two,https://www.zomato.com/mathura/veer-chaap-express-mathura-locality/info
Mathura,Braj Bakes & Cakes,"Bakery, Fast Food",-,₹400 for two,https://www.zomato.com/mathura/braj-bakes-cakes-mathura-locality/info
Mathura,NANDA’S CHHOLE BHATURE,N/A,-,₹300 for two,https://www.zomato.com/mathura/nandas-chhole-bhature-mathura-locality/info
Mathura,Shri Ji Family Restaurant,"North Indian, Chinese, Pizza, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/shri-ji-family-restaurant-1-mathura-locality/info
Mathura,Pappu The Dhaba,N/A,-,₹300 for two,https://www.zomato.com/mathura/pappu-the-dhaba-mathura-locality/info
Mathura,Oven 360 Degree,"Pizza, Fast Food, Beverages",-,₹350 for two,https://www.zomato.com/mathura/oven-360-degree-mathura-locality/info
Mathura,Bansal Bakers,"Bakery, Fast Food",-,₹250 for two,https://www.zomato.com/mathura/bansal-bakers-mathura-locality/info
Mathura,Babarchi By Heera,"North Indian, Chinese",-,"₹1,000 for two",https://www.zomato.com/mathura/babarchi-by-heera-mathura-locality/info
Mathura,Chaat Chaupal,"Momos, Burger, Pizza, Fast Food, Shake",-,₹250 for two,https://www.zomato.com/mathura/chaat-chaupal-2-mathura-locality/info
Mathura,Yadav Dal Wati Wala,"Street Food, Rajasthani",-,₹250 for two,https://www.zomato.com/mathura/yadav-dal-wati-wala-mathura-locality/info
Mathura,Bacchu Dhaba,N/A,-,₹250 for two,https://www.zomato.com/mathura/bacchu-dhaba-mathura-locality/info
Mathura,The Vibe Cafe & Restaurant,"Pizza, Sandwich, Wraps, Fast Food, North Indian, Chinese, Shake, Beverages",-,₹350 for two,https://www.zomato.com/mathura/the-vibe-cafe-restaurant-1-mathura-locality/info
Mathura,Bhawna Restaurant,N/A,-,₹250 for two,https://www.zomato.com/mathura/bhawna-restaurant-mathura-locality/info
Mathura,Food Court,N/A,-,₹200 for two,https://www.zomato.com/mathura/food-court-1-mathura-locality/info
Mathura,Gokul Hotel And Family Restaurant,N/A,-,₹200 for two,https://www.zomato.com/mathura/gokul-hotel-and-family-restaurant-1-mathura-locality/info
Mathura,Moon Light Cafe,"Burger, Pizza, Street Food, Fast Food, Chinese, Shake",-,₹300 for two,https://www.zomato.com/mathura/moon-light-cafe-1-mathura-locality/info
Mathura,Do Bhai Pizza Wale,N/A,-,₹250 for two,https://www.zomato.com/mathura/do-bhai-pizza-wale-3-mathura-locality/info
Mathura,The Hangout Cafe,"North Indian, Chinese, Fast Food, Pizza, Beverages",-,₹500 for two,https://www.zomato.com/mathura/the-hangout-cafe-mathura-locality/info
Mathura,Agrawal Family Dhaba,N/A,-,₹400 for two,https://www.zomato.com/mathura/agrawal-family-dhaba-1-mathura-locality/info
Mathura,Heera Crystal Inn,N/A,-,₹600 for two,https://www.zomato.com/mathura/heera-crystal-inn-4-mathura-locality/info
Mathura,Hari Mohan Misthan Bhandar Hathras Wale Since 1978,"Street Food, Mithai",-,₹250 for two,https://www.zomato.com/mathura/hari-mohan-misthan-bhandar-hathras-wale-since-1978-mathura-locality/info
Mathura,Hotel Goverdhan Palace And Restaurant,"North Indian, South Indian, Chinese",-,₹250 for two,https://www.zomato.com/mathura/hotel-goverdhan-palace-and-restaurant-mathura-locality/info
Mathura,Golden Spoon Cafe & Restaurant,"North Indian, Pizza, Momos, Burger, Sandwich, Street Food, Shake, Beverages",-,₹400 for two,https://www.zomato.com/mathura/golden-spoon-cafe-restaurant-mathura-locality/info
Mathura,Jai Gurudev Family Restaurant,"North Indian, South Indian, Chinese, Beverages",-,₹400 for two,https://www.zomato.com/mathura/jai-gurudev-family-restaurant-1-mathura-locality/info
Mathura,Verma Patties And Food,"Fast Food, Street Food",-,₹300 for two,https://www.zomato.com/mathura/verma-patties-and-food-mathura-locality/info
Mathura,Verma Patties & Food's,"Street Food, Sandwich, Pizza, Burger, Fast Food, Momos, Shake, Beverages",-,₹450 for two,https://www.zomato.com/mathura/verma-patties-foods-mathura-locality/info
Mathura,The Pizza Point,"Pizza, Burger, Sandwich, Fast Food, Street Food, Shake",-,₹450 for two,https://www.zomato.com/mathura/the-pizza-point-2-mathura-locality/info
Mathura,The Food Break,N/A,-,₹500 for two,https://www.zomato.com/mathura/the-food-break-mathura-locality/info
Mathura,Anna South Indian Masala Dosa,N/A,-,₹200 for two,https://www.zomato.com/mathura/anna-south-indian-masala-dosa-mathura-locality/info
Mathura,Babylon Restaurant,"North Indian, South Indian, Chinese, Beverages",-,"₹1,100 for two",https://www.zomato.com/mathura/babylon-restaurant-1-mathura-locality/info
Mathura,Modern Lounge,"North Indian, Mughlai, Chinese",-,₹550 for two,https://www.zomato.com/mathura/modern-lounge-mathura-locality/info
Mathura,Grape & Grill,"North Indian, Mughlai, Chinese",-,"₹1,000 for two",https://www.zomato.com/mathura/grape-grill-1-mathura-locality/info
Mathura,Pavelian 85,"North Indian, Chinese, Bar Food, Continental, Beverages",-,"₹1,200 for two",https://www.zomato.com/mathura/pavelian-85-mathura-locality/info
Mathura,Tandoori Zaika,"North Indian, Mughlai, Rolls",-,₹500 for two,https://www.zomato.com/mathura/tandoori-zaika-1-mathura-locality/info
Mathura,Radha Rani Bhojnalay & Fast Food,"North Indian, Fast Food",-,₹300 for two,https://www.zomato.com/mathura/radha-rani-bhojnalay-fast-food-mathura-locality/info
Mathura,Pahalwan Dhaba And Restaurant,N/A,-,₹400 for two,https://www.zomato.com/mathura/pahalwan-dhaba-and-restaurant-mathura-locality/info
Mathura,Gorge Burger Centre,"Burger, Fast Food",-,₹200 for two,https://www.zomato.com/mathura/gorge-burger-centre-1-mathura-locality/info
Mathura,Silver Oaks Inn,"North Indian, Chinese",-,₹500 for two,https://www.zomato.com/mathura/silver-oaks-inn-mathura-locality/info
Mathura,Vrinda Sarovar,"North Indian, South Indian, Chinese, Salad, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/vrinda-sarovar-1-mathura-locality/info
Mathura,Twist Of Chatkara,"North Indian, South Indian, Chinese, Fast Food",-,₹200 for two,https://www.zomato.com/mathura/twist-of-chatkara-mathura-locality/info
Mathura,Anna Ka Dukaan,"South Indian, Beverages",-,₹300 for two,https://www.zomato.com/mathura/anna-ka-dukaan-mathura-locality/info
Mathura,Patties & Tea Corner Mba Wala,N/A,-,₹100 for two,https://www.zomato.com/mathura/patties-tea-corner-mba-wala-mathura-locality/info
Mathura,Papa Da Pizza,N/A,-,₹300 for two,https://www.zomato.com/mathura/papa-da-pizza-2-mathura-locality/info
Mathura,MK Maa Ki Rasoi,"North Indian, Chinese",-,₹300 for two,https://www.zomato.com/mathura/mk-maa-ki-rasoi-1-mathura-locality/info
Mathura,American Cafe,"North Indian, Rolls, Pizza, Chinese, Burger, Sandwich, Fast Food, Shake",-,₹500 for two,https://www.zomato.com/mathura/american-cafe-mathura-locality/info
Mathura,Kanchan Chat Palace And Confectioner,N/A,-,₹150 for two,https://www.zomato.com/mathura/kanchan-chat-palace-and-confectioner-mathura-locality/info
Mathura,Maa Vaishnavi Food,"Chinese, South Indian, North Indian",-,₹350 for two,https://www.zomato.com/mathura/maa-vaishnavi-food-2-mathura-locality/info
Mathura,Rajput Family Restaurant,N/A,N/A,₹350 for two,https://www.zomato.com/mathura/rajput-family-restaurant-mathura-locality/info
Mathura,Hotel Gulmohar,"North Indian, Chinese, Salad, Fast Food, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/hotel-gulmohar-2-mathura-locality/info
Mathura,Kanha Ki Rasoi,N/A,-,₹200 for two,https://www.zomato.com/mathura/kanha-ki-rasoi-mathura-locality/info
Mathura,Bhagwan Family Dhaba,"North Indian, Chinese",-,₹350 for two,https://www.zomato.com/mathura/bhagwan-family-dhaba-mathura-locality/info
Mathura,Queen's Kitchen @ Mathura,"Fast Food, Chinese, South Indian, Momos",-,₹200 for two,https://www.zomato.com/mathura/queens-kitchen-@-mathura-mathura-locality/info
Mathura,Miami Cafe,"North Indian, Chinese, Burger, Momos, Pizza, Fast Food, Shake, Beverages",-,₹350 for two,https://www.zomato.com/mathura/miami-cafe-mathura-locality/info
Mathura,Neelkanth Vyanjan,N/A,-,₹250 for two,https://www.zomato.com/mathura/neelkanth-vyanjan-mathura-locality/info
Mathura,Brijwasi Fast Food,"South Indian, Street Food, Fast Food",-,₹150 for two,https://www.zomato.com/mathura/brijwasi-fast-food-mathura-locality/info
Mathura,Agrawals Restaurant & Banquets,"North Indian, Chinese",-,₹500 for two,https://www.zomato.com/mathura/agrawals-restaurant-banquets-mathura-locality/info
Mathura,Hotel Radhika Silver & Resturant,"North Indian, Biryani",-,₹200 for two,https://www.zomato.com/mathura/hotel-radhika-silver-resturant-mathura-locality/info
Mathura,Kullad Cafe,"Tea, Shake, Beverages, North Indian, Chinese, Pizza, Fast Food, Street Food",-,₹450 for two,https://www.zomato.com/mathura/kullad-cafe-1-mathura-locality/info
Mathura,Baba Da Dhaba,N/A,-,₹300 for two,https://www.zomato.com/mathura/baba-da-dhaba-4-mathura-locality/info
Mathura,Gobblers Rolls & Bowls,"North Indian, Chinese, Fast Food, Biryani, Rolls, Sandwich, Shake, Beverages",-,₹350 for two,https://www.zomato.com/mathura/gobblers-rolls-bowls-mathura-locality/info
Mathura,The Love cafe,"Chinese, Fast Food, Street Food, Sandwich, Burger, Pizza, Momos, Beverages",-,₹200 for two,https://www.zomato.com/mathura/the-love-cafe-mathura-locality/info
Mathura,Wah Chinese,N/A,-,₹200 for two,https://www.zomato.com/mathura/wah-chinese-mathura-locality/info
Mathura,Da Pizza Hub,"Burger, Pizza, Fast Food, Pasta",-,₹250 for two,https://www.zomato.com/mathura/da-pizza-hub-3-mathura-locality/info
Mathura,Hot Meal (Meal @50),N/A,-,₹200 for two,https://www.zomato.com/mathura/hot-meal-meal-@50-mathura-locality/info
Mathura,Pizza Harrison,"Pizza, Burger, Pasta",N/A,₹450 for two,https://www.zomato.com/mathura/pizza-harrison-2-mathura-locality/info
Mathura,The Bridge,"North Indian, Chinese, Fast Food",-,₹500 for two,https://www.zomato.com/mathura/the-bridge-2-mathura-locality/info
Mathura,Murari Sweets And Namkeen,"Street Food, Mithai",-,₹150 for two,https://www.zomato.com/mathura/murari-sweets-and-namkeen-mathura-locality/info
Mathura,Chatore Fast Food & Pizza Point,"Street Food, Fast Food, North Indian, Chinese, Beverages, Rolls, Biryani",-,₹300 for two,https://www.zomato.com/mathura/chatore-fast-food-pizza-point-1-mathura-locality/info
Mathura,Deepak Swadist Chicken And Fish Rasoi,"North Indian, Seafood, Mughlai",-,₹350 for two,https://www.zomato.com/mathura/deepak-swadist-chicken-and-fish-rasoi-mathura-locality/info
Mathura,Wow! CBSE The Cafe,"North Indian, Chinese, Momos, Fast Food, Street Food, Shake",-,₹350 for two,https://www.zomato.com/mathura/wow-cbse-the-cafe-mathura-locality/info
Mathura,Banjara Hills,"Pizza, Sandwich, Fast Food, Bakery, Street Food",-,₹400 for two,https://www.zomato.com/mathura/banjara-hills-mathura-locality/info
Mathura,Bhai Ji Bakers,N/A,-,₹700 for two,https://www.zomato.com/mathura/bhai-ji-bakers-3-mathura-locality/info
Mathura,Swarn Mahal Resturant & Banquet,N/A,N/A,"₹1,000 for two",https://www.zomato.com/mathura/swarn-mahal-resturant-banquet-mathura-locality/info
Mathura,Radhey Radhey Mithai Wale,"Mithai, Bakery",-,₹350 for two,https://www.zomato.com/mathura/radhey-radhey-mithai-wale-mathura-locality/info
Mathura,Agrawals Restaurant & Banquet,N/A,-,₹400 for two,https://www.zomato.com/mathura/agrawals-restaurant-banquet-1-mathura-locality/info
Mathura,Indian Falooda Center,"Ice Cream, Shake, Pizza, Pasta, Fast Food",-,₹300 for two,https://www.zomato.com/mathura/indian-falooda-center-mathura-locality/info
Mathura,Khana Khazana Ka Magic,N/A,-,₹300 for two,https://www.zomato.com/mathura/khana-khazana-ka-magic-mathura-locality/info
Mathura,Juicy Restaurant,N/A,-,₹450 for two,https://www.zomato.com/mathura/juicy-restaurant-2-mathura-locality/info
Mathura,Ma Ki Thali,N/A,-,₹300 for two,https://www.zomato.com/mathura/ma-ki-thali-mathura-locality/info
Mathura,The Burger Company,"Burger, Fast Food, Pizza, Momos, Beverages, Sandwich, Waffle, Shake",-,₹400 for two,https://www.zomato.com/mathura/the-burger-company-1-mathura-locality/info
Mathura,Prasadam Restaurant,"North Indian, South Indian",N/A,₹500 for two,https://www.zomato.com/mathura/prasadam-restaurant-1-mathura-locality/info
Mathura,Saini Dhaba And Tea Stall,"Tea, North Indian, Street Food",-,₹500 for two,https://www.zomato.com/mathura/saini-dhaba-and-tea-stall-mathura-locality/info
Mathura,Shri Radhika Sweets,"Mithai, Street Food",-,₹200 for two,https://www.zomato.com/mathura/shri-radhika-sweets-mathura-locality/info
Mathura,Jeetu Bhai Paranthe Wale,N/A,-,₹200 for two,https://www.zomato.com/mathura/jeetu-bhai-paranthe-wale-mathura-locality/info
Mathura,Ajay Hotel,"North Indian, Street Food, Chinese, Desserts",-,₹350 for two,https://www.zomato.com/mathura/ajay-hotel-mathura-locality/info
Mathura,Hot Cross Bun,"Chinese, Fast Food, Street Food",-,₹300 for two,https://www.zomato.com/mathura/hot-cross-bun-mathura-locality/info
Mathura,Momo King,"North Indian, Chinese",-,₹250 for two,https://www.zomato.com/mathura/momo-king-mathura-locality/info
Mathura,Momo Lover & Home Bakers,N/A,-,₹550 for two,https://www.zomato.com/mathura/momo-lover-home-bakers-mathura-locality/info
Mathura,Guru Dev Family Restaurant,N/A,-,₹300 for two,https://www.zomato.com/mathura/guru-dev-family-restaurant-mathura-locality/info
Mathura,Shyam Ji Malai Chaap & Fast Food Center,"North Indian, Fast Food, South Indian, Chinese, Momos",-,₹350 for two,https://www.zomato.com/mathura/shyam-ji-malai-chaap-fast-food-center-mathura-locality/info
Mathura,King & Queen Cafe Restro,"Pizza, Burger, Fast Food, Street Food, Shake, Beverages, Chinese, North Indian",-,₹400 for two,https://www.zomato.com/mathura/king-queen-cafe-restro-mathura-locality/info
Mathura,Hotel Shri Radha Rani Family Restaurent,"North Indian, Biryani, Chinese, Street Food",-,₹300 for two,https://www.zomato.com/mathura/hotel-shri-radha-rani-family-restaurent-mathura-locality/info
Mathura,Da Panjabi Cafe,"North Indian, Chinese, Wraps, Fast Food, Street Food, Momos, Shake, Beverages",-,₹450 for two,https://www.zomato.com/mathura/da-panjabi-cafe-mathura-locality/info
Mathura,The Friends Zone Pizza,"Pizza, Fast Food",-,₹300 for two,https://www.zomato.com/mathura/the-friends-zone-pizza-mathura-locality/info
Mathura,Snacks Bar,"Street Food, Fast Food, Pizza, Burger",-,₹300 for two,https://www.zomato.com/mathura/snacks-bar-mathura-locality/info
Mathura,Shri Krishan Balram Restaurant,"North Indian, South Indian, Chinese, Street Food",-,₹250 for two,https://www.zomato.com/mathura/shri-krishan-balram-restaurant-mathura-locality/info
Mathura,Champaran Ahuna Family Restuarant,"North Indian, Biryani",-,₹350 for two,https://www.zomato.com/mathura/champaran-ahuna-family-restuarant-mathura-locality/info
Mathura,Umang Bhojnalay,"North Indian, Shake",-,₹350 for two,https://www.zomato.com/mathura/umang-bhojnalay-mathura-locality/info
Mathura,Burger House,"Burger, Pizza, Sandwich, Fast Food, Chinese, Street Food, Shake, Beverages",-,₹300 for two,https://www.zomato.com/mathura/burger-house-1-mathura-locality/info
Mathura,Albaik,"Burger, Fast Food, Biryani",-,₹450 for two,https://www.zomato.com/mathura/albaik-mathura-locality/info
Mathura,Braj Food,"Chinese, Street Food",-,₹200 for two,https://www.zomato.com/mathura/braj-food-mathura-locality/info
Mathura,Radha Rani Family Restaurant,N/A,-,₹300 for two,https://www.zomato.com/mathura/radha-rani-family-restaurant-1-mathura-locality/info
Mathura,Ayush Fast Food,"Fast Food, Chinese, Street Food",-,₹250 for two,https://www.zomato.com/mathura/ayush-fast-food-mathura-locality/info
Mathura,UP 85 Food Cafe,"Sandwich, Fast Food, Beverages",-,₹300 for two,https://www.zomato.com/mathura/up-85-food-cafe-mathura-locality/info
Mathura,Shrijee Kachori Corner,N/A,-,₹100 for two,https://www.zomato.com/mathura/shrijee-kachori-corner-mathura-locality/info
Mathura,Radha Rani Batata Wada Mumbai Ka Wada Pav Center,"Street Food, Mithai",-,₹100 for two,https://www.zomato.com/mathura/radha-rani-batata-wada-mumbai-ka-wada-pav-center-mathura-locality/info
Mathura,Jai Bhole Fast Food Corner,"Fast Food, Chinese, Street Food, Beverages",-,₹100 for two,https://www.zomato.com/mathura/jai-bhole-fast-food-corner-12-mathura-locality/info
Mathura,Rajwada Restaurant,"North Indian, Fast Food",-,₹100 for two,https://www.zomato.com/mathura/rajwada-restaurant-mathura-locality/info
Mathura,Hotel Silver Star,N/A,-,"₹1,100 for two",https://www.zomato.com/mathura/hotel-silver-star-mathura-locality/info
Mathura,The Live Pizza,"Pizza, Fast Food, Burger",-,₹300 for two,https://www.zomato.com/mathura/the-live-pizza-mathura-locality/info
Mathura,Healthy Meal,"Cafe, Shake",-,₹200 for two,https://www.zomato.com/mathura/healthy-meal-mathura-locality/info
Mathura,New Punjabi Rasoi Chicken Corner,"North Indian, Rolls, Mughlai, Chinese",-,₹450 for two,https://www.zomato.com/mathura/new-punjabi-rasoi-chicken-corner-1-mathura-locality/info
Mathura,Shree Ji Hotel & Bhojnalaya,"North Indian, Chinese, Fast Food, Street Food, Beverages",-,₹400 for two,https://www.zomato.com/mathura/shree-ji-hotel-bhojnalaya-mathura-locality/info
Mathura,The Aakash Bakers,"Bakery, South Indian, Chinese, Fast Food, Street Food, Desserts, Shake, Beverages",-,₹300 for two,https://www.zomato.com/mathura/the-aakash-bakers-mathura-locality/info
Mathura,Shri Khatu Shyam Ji Pizza Point,"Pizza, Italian, Fast Food, Street Food",-,₹300 for two,https://www.zomato.com/mathura/shri-khatu-shyam-ji-pizza-point-mathura-locality/info
Mathura,Sonu Dhaba,N/A,-,₹300 for two,https://www.zomato.com/mathura/sonu-dhaba-mathura-locality/info
Mathura,Preeti Bhoj Restaurant And Rooms,"North Indian, Street Food, Beverages",-,₹400 for two,https://www.zomato.com/mathura/preeti-bhoj-restaurant-and-rooms-mathura-locality/info
Mathura,Flavours Restaurant,"North Indian, South Indian, Chinese, Sandwich, Burger, Pizza, Fast Food, Shake",-,"₹1,000 for two",https://www.zomato.com/mathura/flavours-restaurant-mathura-locality/info
Mathura,Braj Rasoi,"North Indian, Chinese, Rolls",-,₹300 for two,https://www.zomato.com/mathura/braj-rasoi-mathura-locality/info
Mathura,Shri Radha Krishna Family Dhaba,"North Indian, Street Food",-,₹400 for two,https://www.zomato.com/mathura/shri-radha-krishna-family-dhaba-2-mathura-locality/info
Mathura,Baba Dha Dhaba,N/A,N/A,₹300 for two,https://www.zomato.com/mathura/baba-dha-dhaba-mathura-locality/info
Mathura,Punjab Grill,N/A,-,₹450 for two,https://www.zomato.com/mathura/punjab-grill-1-mathura-locality/info
Mathura,The Meggi Junction,"Fast Food, Shake",-,₹100 for two,https://www.zomato.com/mathura/the-meggi-junction-mathura-locality/info
Mathura,Pahalwan Kachori Wale,"Street Food, Desserts",-,₹100 for two,https://www.zomato.com/mathura/pahalwan-kachori-wale-mathura-locality/info
Mathura,Shree Ji Fast Food Dhaba,"North Indian, Chinese, Fast Food",-,₹350 for two,https://www.zomato.com/mathura/shree-ji-fast-food-dhaba-mathura-locality/info
Mathura,Kanahiya Agrawal Family Bhojnalaya,N/A,-,₹450 for two,https://www.zomato.com/mathura/kanahiya-agrawal-family-bhojnalaya-mathura-locality/info
Mathura,Delhi 06,"Chinese, North Indian, Rolls",-,₹300 for two,https://www.zomato.com/mathura/delhi-06-2-mathura-locality/info
Mathura,Laziz Food Holic,"Burger, Pizza, Fast Food, Beverages",-,₹200 for two,https://www.zomato.com/mathura/laziz-food-holic-mathura-locality/info
Mathura,7 Flowers Garden Veg Restaurant,"Chinese, North Indian, South Indian, Fast Food",-,₹350 for two,https://www.zomato.com/mathura/7-flowers-garden-veg-restaurant-mathura-locality/info
Mathura,Shri Shanidev Fast Food,N/A,-,₹200 for two,https://www.zomato.com/mathura/shri-shanidev-fast-food-mathura-locality/info
Mathura,Shri Radha Shyam Fast Food And Tiffin Centre,N/A,-,₹200 for two,https://www.zomato.com/mathura/shri-radha-shyam-fast-food-and-tiffin-centre-mathura-locality/info
Mathura,Maharana Restaurant,"Street Food, North Indian, Beverages",-,₹300 for two,https://www.zomato.com/mathura/maharana-restaurant-mathura-locality/info
Mathura,Yadav Bhojnalaya,N/A,N/A,₹300 for two,https://www.zomato.com/mathura/yadav-bhojnalaya-1-mathura-locality/info
Mathura,Duke's Delight Restaurant Mathura,"North Indian, Chinese, Beverages",-,"₹1,000 for two",https://www.zomato.com/mathura/dukes-delight-restaurant-mathura-mathura-locality/info
Mathura,Agrawal Baker's,"Burger, Pizza, Sandwich, Street Food, Desserts",-,₹200 for two,https://www.zomato.com/mathura/agrawal-bakers-1-mathura-locality/info
Mathura,Ballentine's Family Restro & Lounge,"North Indian, Chinese, Beverages, Shake",-,₹950 for two,https://www.zomato.com/mathura/ballentines-family-restro-lounge-mathura-locality/info
Mathura,Brij Chai Wala,"Tea, Pizza, Burger, Momos, Pasta, Wraps, Fast Food, Street Food",-,₹300 for two,https://www.zomato.com/mathura/brij-chai-wala-mathura-locality/info
Mathura,Wow Vada Pav,"Street Food, Burger, Sandwich, Wraps",-,₹200 for two,https://www.zomato.com/mathura/wow-vada-pav-mathura-locality/info
Mathura,Yug Kulfi Corner,"Ice Cream, Desserts",-,₹200 for two,https://www.zomato.com/mathura/yug-kulfi-corner-mathura-locality/info
Mathura,K G F Restaurent,N/A,-,₹300 for two,https://www.zomato.com/mathura/k-g-f-restaurent-1-mathura-locality/info
Mathura,Dosa Mart,"South Indian, Chinese, Fast Food",-,₹150 for two,https://www.zomato.com/mathura/dosa-mart-1-mathura-locality/info
